Processed,Time(h),Time(m),Time(s),Time(ms),Delt,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,PCTimestamp
195,1,1,4,181,15,0.0390625,0.9970703125,-0.03564453125,3.7841796875,-8.1787109375,-13.00048828125,-223.53761544197786,-334.32577582745364,-317.93866476412853,1745594750.1404948
196,1,1,4,196,15,0.0888671875,0.99951171875,-0.080078125,0.9765625,-8.48388671875,-10.1318359375,-226.53136293236963,-322.3507858658865,-320.94755768870436,1745594750.1472435
197,1,1,4,211,15,0.0615234375,0.98193359375,-0.037109375,-1.15966796875,-7.4462890625,-8.60595703125,-220.54386795158607,-328.3382808466701,-319.4431112264165,1745594750.153763
198,1,1,4,226,15,0.08349609375,0.9921875,0.00439453125,-1.5869140625,-7.32421875,-7.4462890625,-223.53761544197786,-326.8414071014742,-307.40753952811286,1745594750.1602566
199,1,1,4,241,15,0.11328125,1.01953125,-0.0322265625,-2.197265625,-7.75146484375,-6.53076171875,-226.53136293236963,-304.3883009235358,-328.46979000014414,1745594750.466407
200,1,1,4,256,15,0.13818359375,1.02978515625,-0.05517578125,-4.57763671875,-11.5966796875,-9.33837890625,-229.5251104227614,-334.32577582745364,-311.9208789149767,1745594750.6037533
201,1,1,4,271,15,0.17626953125,1.03173828125,-0.04296875,-6.8359375,-15.0146484375,-13.24462890625,-231.02198416795733,-343.30701829862903,-313.42532537726464,1745594750.6102304
202,1,1,4,286,15,0.16845703125,1.05126953125,-0.09228515625,-9.58251953125,-15.5029296875,-19.1650390625,-225.03448918717373,-338.81639706304134,-319.4431112264165,1745594750.6281266
203,1,1,4,301,15,0.11083984375,1.009765625,-0.0244140625,-10.92529296875,-16.6015625,-23.3154296875,-204.07825675443127,-331.3320283370619,-329.97423646243203,1745594750.6357553
204,1,1,4,316,15,0.109375,1.01416015625,-0.02294921875,-11.1083984375,-16.7236328125,-25.390625,-208.56887799001893,-326.8414071014742,-328.46979000014414,1745594750.6430144
205,1,1,4,331,15,0.125,1.0400390625,-0.01904296875,-10.1318359375,-15.56396484375,-28.4423828125,-220.54386795158607,-313.36954339471123,-329.97423646243203,1745594750.6652746
206,1,1,4,346,15,0.14794921875,1.068359375,-0.05908203125,-11.65771484375,-16.4794921875,-32.958984375,-225.03448918717373,-313.36954339471123,-316.43421830184053,1745594750.6717489
207,1,1,4,361,15,0.13134765625,1.04736328125,-0.00732421875,-11.8408203125,-16.9677734375,-37.2314453125,-229.5251104227614,-322.3507858658865,-320.94755768870436,1745594750.6782238
208,1,1,4,376,15,0.06298828125,1.044921875,-0.0078125,-11.71875,-17.7001953125,-41.93115234375,-237.0094791487409,-334.32577582745364,-335.99202231158387,1745594750.6849341
209,1,1,4,391,15,0.06396484375,1.04931640625,-0.0107421875,-10.1318359375,-19.34814453125,-43.64013671875,-250.48134285550393,-308.8789221591235,-339.00091523615976,1745594750.691815
210,1,1,4,406,15,0.0546875,1.0712890625,-0.0166015625,-11.8408203125,-21.91162109375,-47.7294921875,-248.98446911030803,-313.36954339471123,-332.9831293870079,1745594750.765285
211,1,1,4,421,15,0.095703125,1.10302734375,-0.01220703125,-13.97705078125,-25.45166015625,-49.13330078125,-242.99697412952446,-317.86016463029887,-337.4964687738718,1745594750.7717297
212,1,1,4,436,15,0.08154296875,1.138671875,-0.03173828125,-15.5029296875,-26.0009765625,-51.81884765625,-248.98446911030803,-295.4070584523605,-343.5142546230236,1745594750.7781825
213,1,1,4,451,15,0.142578125,1.0830078125,-0.009765625,-15.380859375,-24.10888671875,-52.490234375,-263.953206562267,-310.3757959043194,-337.4964687738718,1745594750.7862365
214,1,1,4,466,15,0.1298828125,1.0966796875,0.08740234375,-16.9677734375,-19.53125,-58.2275390625,-248.98446911030803,-292.4133109619687,-337.4964687738718,1745594750.7982805
215,1,1,4,481,15,0.19287109375,1.1123046875,0.0859375,-18.00537109375,-14.34326171875,-67.626953125,-268.4438277978546,-280.4383210004015,-335.99202231158387,1745594750.8047025
216,1,1,4,496,15,0.25830078125,1.2919921875,0.0791015625,-21.240234375,-6.7138671875,-80.26123046875,-269.9407015430505,-295.4070584523605,-323.95645061328025,1745594750.811338
217,1,1,4,511,15,0.2451171875,1.24853515625,0.13134765625,-15.2587890625,-5.126953125,-95.458984375,-266.9469540526587,-278.9414472552056,-329.97423646243203,1745594750.8178263
218,1,1,4,526,15,0.365234375,1.49755859375,0.26318359375,-9.09423828125,-12.51220703125,-112.85400390625,-283.4125652498136,-272.9539522744221,-331.47868292472,1745594750.8242357
